m,n_m,multiplier,variant,reps,seed,success_prob,n_qubits,n_search_qubits,search_space_size,reduction_ratio,depth,cnot_count,u3_count,n_seeds,opt_seconds
15,4,hrs,uniform,5,1,0.18727,17,6,6.0,1.0,35196,19660,26190,5,785.3
15,4,hrs,uniform,5,2,0.177431,17,6,6.0,1.0,35196,19660,26190,5,785.3
15,4,hrs,uniform,5,3,0.145921,17,6,6.0,1.0,35196,19660,26190,5,785.3
15,4,hrs,uniform,5,4,0.139605,17,6,6.0,1.0,35196,19660,26190,5,785.3
15,4,hrs,reduced,1,0,0.224083,17,6,4.0,0.6667,7158,4010,5334,5,105.8
15,4,hrs,reduced,1,1,0.224083,17,6,4.0,0.6667,7158,4010,5334,5,105.8
15,4,hrs,reduced,1,2,0.224083,17,6,4.0,0.6667,7158,4010,5334,5,105.8
15,4,hrs,reduced,1,3,0.224083,17,6,4.0,0.6667,7158,4010,5334,5,105.8
15,4,hrs,reduced,1,4,0.224083,17,6,4.0,0.6667,7158,4010,5334,5,105.8
15,4,hrs,reduced,2,0,0.366267,17,6,4.0,0.6667,14312,8020,10653,5,420.8
15,4,hrs,reduced,2,1,0.366305,17,6,4.0,0.6667,14312,8020,10653,5,420.8
15,4,hrs,reduced,2,2,0.301206,17,6,4.0,0.6667,14312,8020,10653,5,420.8
15,4,hrs,reduced,2,3,0.366304,17,6,4.0,0.6667,14312,8020,10653,5,420.8
15,4,hrs,reduced,2,4,0.34755,17,6,4.0,0.6667,14312,8020,10653,5,420.8
15,4,hrs,reduced,3,0,0.432574,17,6,4.0,0.6667,21466,12030,15972,5,628.6
15,4,hrs,reduced,3,1,0.420052,17,6,4.0,0.6667,21466,12030,15972,5,628.6
15,4,hrs,reduced,3,2,0.434116,17,6,4.0,0.6667,21466,12030,15972,5,628.6
15,4,hrs,reduced,3,3,0.398221,17,6,4.0,0.6667,21466,12030,15972,5,628.6
15,4,hrs,reduced,3,4,0.441136,17,6,4.0,0.6667,21466,12030,15972,5,628.6
15,4,hrs,reduced,4,0,0.409931,17,6,4.0,0.6667,28620,16040,21291,5,666.9
15,4,hrs,reduced,4,1,0.439996,17,6,4.0,0.6667,28620,16040,21291,5,666.9
15,4,hrs,reduced,4,2,0.391212,17,6,4.0,0.6667,28620,16040,21291,5,666.9
15,4,hrs,reduced,4,3,0.402651,17,6,4.0,0.6667,28620,16040,21291,5,666.9
15,4,hrs,reduced,4,4,0.435564,17,6,4.0,0.6667,28620,16040,21291,5,666.9
