m,unknowns,carry_bits
9703,28,19
11581,28,19
12833,34,23
13459,32,22
14711,29,19
16589,35,24
18467,35,25
19093,36,25
20971,31,22
22223,32,23
22849,35,25
24727,37,26
25979,35,24
27857,39,27
30361,39,27
31613,38,26
32239,35,24
33491,40,29
34117,41,29
35369,42,30
39751,40,29
41003,35,25
42881,39,28
43507,35,25
46637,37,26
47263,36,26
49141,37,26
51019,41,29
52271,39,27
54149,43,30
56027,40,28
56653,42,29
59783,40,28
60409,42,29
61661,43,30
62287,41,29
66043,43,31
69799,43,31
71051,44,32
71677,45,32
72929,45,32
74807,43,31
75433,46,33
78563,43,31
80441,37,27
82319,40,29
84197,41,29
84823,40,29
86701,41,29
87953,43,31
88579,40,29
91709,41,29
96091,40,29
97343,39,28
97969,42,30
