m,n_m,variant,reps,n_qubits,multiplier,shots,error_rate,seed,success_noisy,success_ideal,angles
15,4,uniform,5,17,hrs,256,0.0001,0,0.042969,0.18886,"[2.20201682, 0.59250679, -0.12330731, 0.34378643, 2.83237507, 2.89729183, 1.63049477, 2.46045547, 1.81059109, 2.5849309]"
15,4,uniform,5,17,hrs,256,0.01,0,0.023438,0.18886,"[2.20201682, 0.59250679, -0.12330731, 0.34378643, 2.83237507, 2.89729183, 1.63049477, 2.46045547, 1.81059109, 2.5849309]"
15,4,uniform,5,17,hrs,256,0.1,0,0.019531,0.18886,"[2.20201682, 0.59250679, -0.12330731, 0.34378643, 2.83237507, 2.89729183, 1.63049477, 2.46045547, 1.81059109, 2.5849309]"
15,4,uniform,5,17,hrs,256,-1.0,1,,0.18727,"[2.83224372, 4.47740631, 0.10971554, 2.89043248, 0.35695518, 0.97139541, 2.21564899, 1.22413631, 1.37052117, -0.51313083]"
15,4,uniform,5,17,hrs,256,0.0001,1,0.042969,0.18727,"[2.83224372, 4.47740631, 0.10971554, 2.89043248, 0.35695518, 0.97139541, 2.21564899, 1.22413631, 1.37052117, -0.51313083]"
15,4,uniform,5,17,hrs,256,0.01,1,0.011719,0.18727,"[2.83224372, 4.47740631, 0.10971554, 2.89043248, 0.35695518, 0.97139541, 2.21564899, 1.22413631, 1.37052117, -0.51313083]"
15,4,uniform,5,17,hrs,256,0.1,1,0.011719,0.18727,"[2.83224372, 4.47740631, 0.10971554, 2.89043248, 0.35695518, 0.97139541, 2.21564899, 1.22413631, 1.37052117, -0.51313083]"
15,4,uniform,5,17,hrs,256,-1.0,2,,0.177431,"[2.09646483, 2.1788763, 2.4287649, 0.4335233, 1.67323399, 2.56489936, 0.45386553, 0.29776769, 0.94781075, 2.10841031]"
15,4,uniform,5,17,hrs,256,0.0001,2,0.027344,0.177431,"[2.09646483, 2.1788763, 2.4287649, 0.4335233, 1.67323399, 2.56489936, 0.45386553, 0.29776769, 0.94781075, 2.10841031]"
15,4,uniform,5,17,hrs,256,0.01,2,0.011719,0.177431,"[2.09646483, 2.1788763, 2.4287649, 0.4335233, 1.67323399, 2.56489936, 0.45386553, 0.29776769, 0.94781075, 2.10841031]"
15,4,uniform,5,17,hrs,256,0.1,2,0.007812,0.177431,"[2.09646483, 2.1788763, 2.4287649, 0.4335233, 1.67323399, 2.56489936, 0.45386553, 0.29776769, 0.94781075, 2.10841031]"
15,4,uniform,5,17,hrs,256,-1.0,3,,0.145921,"[1.15165518, 1.78578737, 2.73733729, 2.80457862, 0.32062249, 1.38022595, 1.49439955, 0.43321028, 2.55420644, 0.36837077]"
15,4,uniform,5,17,hrs,256,0.0001,3,0.027344,0.145921,"[1.15165518, 1.78578737, 2.73733729, 2.80457862, 0.32062249, 1.38022595, 1.49439955, 0.43321028, 2.55420644, 0.36837077]"
15,4,uniform,5,17,hrs,256,0.01,3,0.019531,0.145921,"[1.15165518, 1.78578737, 2.73733729, 2.80457862, 0.32062249, 1.38022595, 1.49439955, 0.43321028, 2.55420644, 0.36837077]"
15,4,uniform,5,17,hrs,256,0.1,3,0.015625,0.145921,"[1.15165518, 1.78578737, 2.73733729, 2.80457862, 0.32062249, 1.38022595, 1.49439955, 0.43321028, 2.55420644, 0.36837077]"
15,4,uniform,5,17,hrs,256,-1.0,4,,0.139605,"[2.9147956, 1.60558694, 3.14688963, -0.04299017, 2.01793911, 0.85947409, 2.6699735, 1.65993008, 2.74165834, 1.70699094]"
15,4,uniform,5,17,hrs,256,0.0001,4,0.039062,0.139605,"[2.9147956, 1.60558694, 3.14688963, -0.04299017, 2.01793911, 0.85947409, 2.6699735, 1.65993008, 2.74165834, 1.70699094]"
15,4,uniform,5,17,hrs,256,0.01,4,0.011719,0.139605,"[2.9147956, 1.60558694, 3.14688963, -0.04299017, 2.01793911, 0.85947409, 2.6699735, 1.65993008, 2.74165834, 1.70699094]"
15,4,uniform,5,17,hrs,256,0.1,4,0.023438,0.139605,"[2.9147956, 1.60558694, 3.14688963, -0.04299017, 2.01793911, 0.85947409, 2.6699735, 1.65993008, 2.74165834, 1.70699094]"
15,4,reduced,5,17,hrs,256,-1.0,0,,0.418454,"[2.89789623, 0.1301427, 0.80167623, 1.11702343, 4.24913786, 2.58611459, 2.94079328, 2.12215775, 1.4522496, 2.54620049]"
15,4,reduced,5,17,hrs,256,0.0001,0,0.082031,0.418454,"[2.89789623, 0.1301427, 0.80167623, 1.11702343, 4.24913786, 2.58611459, 2.94079328, 2.12215775, 1.4522496, 2.54620049]"
